len;duration;threads
98304;1962249310;2
98304;1994358480;2
131072;2052652711;2
131072;2058179810;2
131072;2052454998;2
131072;2105589071;2
131072;2099058066;2
131072;2067265342;2
131072;2059442099;2
131072;2063153037;2
131072;2071308798;2
131072;2100422364;2
196608;2204766481;2
196608;2214574667;2
196608;2248099081;2
196608;2275202841;2
196608;2266095135;2
196608;2282622356;2
196608;2214649822;2
196608;2245841839;2
196608;2248025067;2
196608;2265651287;2
262144;2904662721;2
262144;2426567710;2
262144;2838520387;2
262144;2375927898;2
262144;3062373618;2
262144;2428632244;2
262144;2916010947;2
262144;2479800945;2
262144;3004868613;2
262144;2502443361;2
524288;4828393801;2
524288;5161302005;2
524288;5188535240;2
524288;5229235557;2
524288;4429269126;2
524288;4542310264;2
524288;4474605634;2
524288;4480135785;2
524288;4521212404;2
524288;4569761965;2
786432;6992911746;2
786432;7106975630;2
786432;7189796106;2
786432;7357208581;2
786432;7031714725;2
786432;6968168948;2
786432;6597451867;2
786432;6467095909;2
786432;6678074100;2
786432;6469817142;2
1048576;9647873865;2
1048576;9948654464;2
1048576;9034292851;2
1048576;8944675216;2
1048576;9158830530;2
1048576;9066316452;2
1048576;8916908981;2
1048576;9216680465;2
1048576;8871498458;2
1048576;8344931238;2
1572864;14145206591;2
1572864;13318179450;2
1572864;13397728563;2
1572864;13205851040;2
1572864;12651424486;2
1572864;12351512742;2
1572864;12554082119;2
1572864;11795769252;2
1572864;14932461799;2
1572864;16091391039;2
2097152;15617462206;2
2097152;15541391039;2
2097152;15292732999;2
2097152;14323623135;2
2097152;16087164925;2
2097152;15527660448;2
2097152;14976540413;2
2097152;14216310960;2
2097152;18054417652;2
2097152;18332287118;2
4194304;19338677744;2
4194304;19013405853;2
4194304;18754640837;2
4194304;18959440846;2
4194304;21887279104;2
4194304;21798022838;2
4194304;21259736949;2
4194304;21670008881;2
4194304;21326211721;2
4194304;20506586557;2
8388608;21230090546;2
8388608;21672598358;2
8388608;24149101412;2
8388608;24126831067;2
8388608;23965766735;2
8388608;23951523897;2
8388608;23344502615;2
8388608;23155916596;2
8388608;23957076997;2
8388608;23622047050;2
16777216;24243942842;2
16777216;26353529717;2
16777216;26214006768;2
16777216;26064782158;2
16777216;26113239758;2
16777216;25556731784;2
16777216;26251758964;2
16777216;25662928398;2
16777216;25460051526;2
16777216;25216620700;2
33554432;28409844130;2
33554432;29477555882;2
33554432;29196276626;2
33554432;28915199314;2
33554432;28647546685;2
33554432;26530519585;2
33554432;25843548230;2
33554432;29679150446;2
33554432;29883991226;2
33554432;29804197565;2
64;171865520;3
64;182213582;3
64;181079101;3
64;182359335;3
64;182315714;3
64;180478557;3
64;180432536;3
64;174009725;3
64;178111939;3
64;174798258;3
128;176121093;3
128;185695475;3
128;184115967;3
128;184737223;3
128;184032755;3
128;183165731;3
128;186043864;3
128;181693604;3
128;182361735;3
128;208788981;3
256;181068848;3
256;184999797;3
256;186868652;3
256;176096151;3
256;174024414;3
256;203386637;3
256;180517212;3
256;173249878;3
256;182140584;3
256;182594930;3
512;174816081;3
512;191534994;3
512;193125732;3
512;182466024;3
512;182498251;3
512;179551758;3
512;181421550;3
512;184284139;3
512;181682414;3
512;180823690;3
1024;177082927;3
1024;186601969;3
1024;184548869;3
1024;180405640;3
1024;182830038;3
1024;181729818;3
1024;176992717;3
1024;171322469;3
1024;179999674;3
1024;181888672;3
2048;176771606;3
2048;180770630;3
2048;184695068;3
2048;187472941;3
2048;178856811;3
2048;183047160;3
2048;178926717;3
2048;184755249;3
2048;178346517;3
2048;173488485;3
2560;181384480;3
2560;180452189;3
2560;187624756;3
2560;185734619;3
2560;171511759;3
2560;181964478;3
2560;181676026;3
2560;218350912;3
2560;181282878;3
2560;173103394;3
3072;175415243;3
3072;188388916;3
3072;183094361;3
3072;200621989;3
3072;183051555;3
3072;188806234;3
3072;185502808;3
3072;186466838;3
3072;183497030;3
3072;182704590;3
4096;175813355;3
4096;185225952;3
4096;188604655;3
4096;176502686;3
4096;188080932;3
4096;184151612;3
4096;175644653;3
4096;184478801;3
4096;179710205;3
4096;184327189;3
6144;284848266;3
6144;291746216;3
6144;292365886;3
6144;289606038;3
6144;291580363;3
6144;292132609;3
6144;289871378;3
6144;292362956;3
6144;292092895;3
6144;290839437;3
8192;346626303;3
8192;347993083;3
8192;357013672;3
8192;335429891;3
8192;333484538;3
8192;340270590;3
8192;339858073;3
8192;336647339;3
8192;335931966;3
8192;346928793;3
10240;377388428;3
10240;364231039;3
10240;355688680;3
10240;366426067;3
10240;401158732;3
10240;372588949;3
10240;364022136;3
10240;369205241;3
10240;353672485;3
10240;361145020;3
12288;415254802;3
12288;378190308;3
12288;378910889;3
12288;374540609;3
12288;380078410;3
12288;392682536;3
12288;431604208;3
12288;416430582;3
12288;396830933;3
12288;395177002;3
16384;560561238;3
16384;553781942;3
16384;573247478;3
16384;531521200;3
16384;561917156;3
16384;578819621;3
16384;530170736;3
16384;556538900;3
16384;599756267;3
16384;587706380;3
24576;786194255;3
24576;837590617;3
24576;775244873;3
24576;829134888;3
24576;791487265;3
24576;887165569;3
24576;820946737;3
24576;866192465;3
24576;851204875;3
24576;826387330;3
32768;1155827760;3
32768;1139568034;3
32768;1150798992;3
32768;1186900879;3
32768;1151197551;3
32768;1154945069;3
32768;1164412069;3
32768;1110507650;3
32768;1168175985;3
32768;1142657349;3
49152;1626970379;3
49152;1628831706;3
49152;1603051515;3
49152;1628415243;3
49152;1590753785;3
49152;1612841798;3
49152;1601242880;3
49152;1576411540;3
49152;1604963095;3
